"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","107","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
"","56","flywaySeedingReferenceDataButNoPerTestOrders()","","2026-07-10","failed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","flywaySeedingReferenceDataButNoPerTestOrders"
"","0","resetMakesTestOrderIndependent()","","2026-07-10","skipped","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","resetMakesTestOrderIndependent"
"Categories split flaky,test and product","30","categoriesPutGenericFlakyRules()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.reporting.AllureReporting","com.example.Selenium.reporting.AllureReporting","categoriesPutGenericFlakyRules"
"","125","countsOnlyPersistedTestOrders()","","2026-07-10","failed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","countsOnlyPersistedTestOrders"
"","9","Refracting Test case","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.RefactoringTest","com.example.Selenium.tests.RefactoringTest","refractoringTheExistingProject"
